StateName,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party name
Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396,Bharatiya Janata Party - BJP
Andhra Pradesh,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,Telugu Desam - TDP
Andhra Pradesh,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,Telugu Desam - TDP
Andhra Pradesh,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,Telugu Desam - TDP
Andhra Pradesh,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,Telugu Desam - TDP
Andhra Pradesh,Eluru(10),PUTTA MAHESH KUMAR,746351,181857,Telugu Desam - TDP
Andhra Pradesh,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085,Telugu Desam - TDP
Andhra Pradesh,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695,Telugu Desam - TDP
Andhra Pradesh,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729,Telugu Desam - TDP
Andhra Pradesh,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031,Telugu Desam - TDP
Andhra Pradesh,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199,Telugu Desam - TDP
Andhra Pradesh,Nandyal(17),DR BYREDDY SHABARI,701131,111975,Telugu Desam - TDP
Andhra Pradesh,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298,Telugu Desam - TDP
Andhra Pradesh,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,Telugu Desam - TDP
Andhra Pradesh,Hindupur(20),B K PARTHASARATHI,725534,132427,Telugu Desam - TDP
Andhra Pradesh,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902,Telugu Desam - TDP
Andhra Pradesh,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479,Telugu Desam - TDP
Andhra Pradesh,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580,Yuvajana Sramika Rythu Congress Party - YSRCP
Andhra Pradesh,Kadapa(21),Y. S. AVINASH REDDY,605143,62695,Yuvajana Sramika Rythu Congress Party - YSRCP
Andhra Pradesh,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569,Yuvajana Sramika Rythu Congress Party - YSRCP
Andhra Pradesh,Rajampet(24),P V MIDHUN REDDY,644844,76071,Yuvajana Sramika Rythu Congress Party - YSRCP
Andhra Pradesh,Anakapalle(5),C.M.RAMESH,762069,296530,Bharatiya Janata Party - BJP
Andhra Pradesh,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,Bharatiya Janata Party - BJP
Andhra Pradesh,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,Bharatiya Janata Party - BJP
Andhra Pradesh,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,Janasena Party - JnP
Andhra Pradesh,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179,Janasena Party - JnP
Arunachal Pradesh,Arunachal West(1),KIREN RIJIJU,205417,100738,Bharatiya Janata Party - BJP
Arunachal Pradesh,Arunachal East(2),TAPIR GAO,145581,30421,Bharatiya Janata Party - BJP
Assam,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012,Bharatiya Janata Party - BJP
Assam,Guwahati(5),BIJULI KALITA MEDHI,894887,251090,Bharatiya Janata Party - BJP
Assam,Diphu(6),AMARSING TISSO,334620,147603,Bharatiya Janata Party - BJP
Assam,Karimganj(7),KRIPANATH MALLAH,545093,18360,Bharatiya Janata Party - BJP
Assam,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311,Bharatiya Janata Party - BJP
Assam,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947,Bharatiya Janata Party - BJP
Assam,Sonitpur(11),RANJIT DUTTA,775788,361408,Bharatiya Janata Party - BJP
Assam,Lakhimpur(12),PRADAN BARUAH,663122,201257,Bharatiya Janata Party - BJP
Assam,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321,Bharatiya Janata Party - BJP
Assam,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476,Indian National Congress - INC
